Date,heading,detail,reference,Themes,type
2021-06-24,ReCov vaccine trial begins,"A group of New Zealanders are the first in the world to participate in a trial for a new second-generation COVID-19 vaccine, ReCov, developed by Chinese company Jiangsu Rec-Biotechnology. The vaccine developer is working in partnership with New Zealand Clinical Research, which will be running the trial in New Zealand. They plan to vaccinate 100 New Zealanders with ReCov by September. The test group will include a younger population and a 55+ population. The ReCov vaccine immunises against two parts of the immune system, meaning it could provide longer-lasting immunity. If the first clinical trial proves to be successful, a larger trial that covers thousands of people could be implemented.","(Preston, 2021)",Vaccination,Vaccination
2021-06-23,National museum closes in response to Sydney traveller case,"NZ’s national museum, Te Papa, closes its doors due to being visited on 19 June by the traveller who was later confirmed to have COVID-19. In response to growing concern over the potential spread, 250 conference attendees are also evacuated from the museum. Museum representatives estimate that around 2500 people may have visited the museum in the hours between 4 pm and 5:45 pm when the traveller was there.","(Chumko, 2021)",Outbreak,Outbreak
2021-06-23,Sydney traveller to Wellington tests positive for Delta variant ,"A person who visited Wellington from 19 to 21 June tests positive for COVID-19 after returning to Sydney. The traveller had received one dose of the AstraZeneca vaccine. The Ministry of Health releases 20 locations of interest in the Wellington CBD for contact tracing. At 1 pm on 23 June, COVID-19 Response Minister Chris Hipkins announces that the Wellington region will move to Alert Level 2 from 6pm that evening until 11:59 pm on 27 June. On 23 June, 6999 tests are taken nationwide, of which 2100 are in Wellington. This is five times the number of tests taken the day before. On 25 June, New South Wales officials confirm that the traveller has the Delta variant of COVID-19.","(Carroll & Pullar-Strecker, 2021; Cooke, 2021a; MOH, 2021aa)",Border control,Border
2021-06-22,Vaccine shortage in Bluff ,"The Bluff Community Medical Trust is informed by the Ministry of Health that there is a shortage of the COVID-19 vaccine. The Trust’s local vaccination clinic is placed on hold. The Trust had intended to vaccinate patients from the first week of July. Trust leaders emphasise the high percentage of at-risk patients who are affected by the shortage, including Māori communities and immunocompromised groups. The Trust also emphasises the importance of local immunisation centres for more isolated communities that are accessible without lengthy or expensive travel. ","(Cheng, 2021d)",Vaccination,Vaccination
2021-06-22,Trans-Tasman bubble with New South Wales paused,"Travel to New Zealand from New South Wales is paused for 72 hours from 11:59 pm on 22 June, in response to growing numbers of COVID-19 community cases in Sydney. Air New Zealand cancels 28 direct services from Wellington, Christchurch and Queenstown and redirects passengers to Auckland while investigations into the outbreak continue. ","(Morrison, 2021; Preston, 2021)",Trans-Tasman bubble,Bubble
2021-06-21,Provisional approval of Pfizer vaccine for 12–15-year-olds confirmed,"Medsafe grants provisional approval for the use of the Pfizer COVID-19 vaccine for 12–15-year-olds. This means that while it has Medsafe approval, the vaccine needs to meet certain conditions and more data on its efficacy needs to be collected in clinical trials. In the next month the Ministry of Health will provide the government with advice on the provisional approval and the use of the vaccine on this age group – which constitutes around 265,000 children. Schools are likely to play a key role in the immunisation scheme, in line with schemes of the past such as measles and polio. Children under the age of 16 will require parental consent, while those older will be able to give consent. A Ministry of Health survey shows resistance over youth vaccinations rising, with caregivers expressing concern over the safety for this age group. ","(Neilson & Gabel, 2021; Whyte, 2021b)",Vaccination,Vaccination
2021-06-20,Doctors under investigation for COVID-19 misinformation,The Medical Council investigates 13 doctors in response to 26 complaints from members of the public about doctors who may have provided misinformation about COVID-19. Doctors under investigation could be struck off if they are found to have spread misinformation. ,"(Broughton, 2021a; 2021b)",Governance,Governance
2021-06-05,Vaccination and testing gaps for border workers revealed,"Based on Ministry of Health data, it is revealed that approximately 3800 border workers at airports and sea ports are yet to receive a single dose of the COVID-19 vaccine. In addition, approximately 50% of the 50,000 household contacts of border workers are yet to receive a dose. Director-General of Health Dr Ashley Bloomfield also confirms that there is a 4% non-compliance rate for MIQ workers participating in mandatory regular testing. For non-MIQ border workers, the non-compliance rate is 14%. The Ministry of Health explains this rate is the product of timing and the delayed updating of the testing register.","(Cheng, 2021c)",Border control,Border
2021-05-26,Trans-Tasman bubble with Victoria paused,"On 25 May, four COVID-19 community cases are detected in Melbourne. The Ministry of Health recommends that New Zealanders who have recently travelled to Victoria monitor their health and check locations of interest. On 22 June, the quarantine-free travel bubble resumes after several extensions and lockdowns within the state of Victoria. ","(Forrester, 2021b; Walls, 2021)",Trans-Tasman bubble,Bubble
2021-05-19,$1.4 billion spend on vaccine rollout revealed,COVID-19 Response Minister Chris Hipkins reveals that $1.4 billion has been allocated to the COVID-19 vaccination rollout. More than $1 billion of this was used to purchase vaccines and specialist equipment. ,"(Whyte, 2021a)",Vaccination,Vaccination
2021-05-18,Auditor-General’s COVID-19 vaccine plan review released ,"Auditor-General John Ryan’s report Preparations for the nationwide rollout of the Covid-19 vaccine is released. The report raises concerns about whether the rollout will be completed by the end of 2021. It contains six major recommendations for the Ministry of Health, including continuing transparency in public communications about vaccine supply risks; completing risk planning and management; improving guidance for DHBs about potential deviations from the sequencing framework; continuing work with DHBs, Māori, Pasifika, and disability healthcare providers to ensure equity in the rollout; providing greater clarity to primary healthcare providers about their role in the rollout; and strengthening efforts to educate the public about the vaccine and encourage uptake. ","(Quinn, 2021a)",Vaccination,Vaccination
2021-05-16,Weak positive in Wellington wastewater detected,"The Ministry of Health detects weak positive results for COVID-19 in a wastewater treatment plant at Moa Point. On 19 May, after expanded testing, weak positive results are detected in wastewater samples from Porirua and the Wellington suburb of Karori. The Ministry considers the positive results are most likely from recently recovered cases. ","(Te, 2021)",Testing,Testing
2021-05-06,Trans-Tasman bubble with NSW paused,Flights between New Zealand and New South Wales are paused from 11:59 pm on 6 May in response to the identification of two COVID-19 cases in Sydney. Quarantine-free travel between NSW and New Zealand resumes from 11:59 pm on 9 May 2021.,"(Cheng, 2021b; Lyons, 2021)",Trans-Tasman bubble,Bubble
2021-05-06,IP waiver for COVID-19 vaccines supported ,"Trade Minister Damien O’Connor announces that New Zealand supports the announcement of the US Trade Representative to work for a waiver of intellectual property protections on COVID-19 vaccines at the World Trade Organization. The waiver removes barriers to vaccine access for countries such as India and Brazil, which have been calling for these waivers as a way to ensure swift access to vaccines, especially for countries that are struggling with high levels of infection and death. ","(O’Connor, 2021)",Governance,Governance
2021-05-02,Trans-Tasman bubble with Western Australia paused,"Flights from Western Australia to New Zealand are cancelled on the evening of 1 May due to a security guard working in a Perth managed isolation facility testing positive for COVID-19. After a rapid public health assessment, the Ministry of Health announces that flights between WA and New Zealand can resume from 3 May 2021. ","(Basagre, 2021; Vinall, 2021)",Trans-Tasman bubble,Bubble
2021-04-30,Vaccination of border workers now mandatory,"At 11:59 pm the COVID-19 Public Health Response (Vaccinations) Order 2021 comes into force. The purpose of the order (under s 3) is to prevent, and limit the risk of, the outbreak or spread of COVID-19 by requiring certain work to be carried out by affected persons who are vaccinated. The Order requires all border workers and all government officials in high-risk border settings to be vaccinated before carrying out any work. As a result of the order, nine Customs workers are fired for refusing the COVID-19 vaccine. Most are able to be redeployed into other roles in which they will not be at risk. The Order is updated regularly, expanding to include people in a multitude of workforces.","(Block, 2021c; MOH, 2021z; New Zealand Government, 2021f)",Vaccination,Vaccination
2021-04-29,"250,000 vaccination courses donated to Fiji ","Associate Minister of Health and Foreign Affairs Aupito William Sio announces that New Zealand has offered Fiji enough doses of the AstraZeneca vaccine for 250,000 people, and Fiji has accepted. The AstraZeneca vaccine is part of New Zealand’s domestic vaccine portfolio and has not yet received Medsafe approval, which it will require before it can be donated and used. This offer includes $2 million in Official Development Assistance to support the vaccine rollout in Fiji.","(Sio, 2021b)",Vaccination,Vaccination
2021-04-23,‘Very high risk’ country designation introduced ,"COVID-19 Response Minister Chris Hipkins announces a border control measure that designates countries which have had more than 50 cases of COVID-19 per 1000 arrivals and more than 15 travellers to New Zealand on average per month as ‘very high risk’. Countries that currently meet this threshold are India, Brazil, Papua New Guinea and Pakistan. The restrictions come into force at 11:59 pm on 28 April. This means that only (i) New Zealand citizens, (ii) their partners and children and (iii) parents of children who are New Zealand citizens are allowed entry into the country. ","(Hipkins, 2021e)",Governance,Governance
2021-04-20,Border worker at Auckland Airport tests positive,"A fully vaccinated border worker responsible for cleaning planes from countries with a high risk of COVID-19 infection returns a positive test for COVID-19 and is placed in isolation at home. MOH genomic testing reveals that the worker has the UK variant, and the infection is linked to a passenger who arrived in early April from Ethiopia via the United Arab Emirates. ","(Martin, 2021b; MOH, 2021y; RNZ, 2021g)",Border control,Border
2021-04-19,Two MIQ facilities closed due to ventilation concerns,"The Grand Millennium and Grand Mercure managed isolation facilities are closed to further returnees until the end of April in response to advice from a joint Ministry of Health and MIQ technical advisory group. Both hotels have been sites of COVID-19 transmission between returnees and border workers. The ventilation systems are reviewed for potential aerosol transmission. On 18 June, Joint Head of MIQ Megan Main announces that the Grand Mercure has been confirmed safe for reopening, after an intensive deep clean and remediation of its ventilation system. ","(Martin, 2021b; Pearse, 2021a)",Border control,Border
2021-04-19,Trans-Tasman bubble with Australia opened ,"Nine Australian ports are opened for quarantine-free travel. On the first day, approximately 5000 Air New Zealand passengers are expected to travel between the two countries. Auckland Airport chief executive Adrian Littlewood states that pre-pandemic travel from and to Australia represented around 40% of international business, so the bubble will be a major boost to the airport and to the tourism industry at large. Prime Minister Jacinda Ardern states New Zealand will apply a discretionary country-by-country framework to the creation of other travel bubbles, such as with Pacific nations. ","(Pearse et al., 2021; RNZ, 2021f)",Trans-Tasman bubble,Bubble
2021-04-15,Vaccination rollout plan released,"In addition to the approximately 200,000 COVID-19 vaccine doses already delivered, the Ministry of Health announces plans to deliver a further 1 million doses by 30 June 2021 and advises that, by the end of the year, it intends to deliver 8 million doses. On 17 June, the government announces that it will introduce an age-based structure for the vaccine rollout. This is based on the success of similar international approaches, and the increased risk of COVID by age. People aged 60 and over will be eligible first and will receive the vaccine from 28 July. The provisional vaccination timeframe indicates that those over 45 will be eligible from mid to late August, and those over 35 will be eligible from mid to late September. All people aged over 16 are eligible to receive the vaccine from October.","(Daalder, 2021; Manch, 2021b; New Zealand Government, 2021e)",Vaccination,Vaccination
2021-04-15,Wearable COVID-19 detection technology for border workers trialled,"The Ministry of Health approves a month-long trial of the ëlarm app, created by New Zealand company Datamine, for 500 border workers. The app, which functions through wearable smart devices such as Fitbits and Apple devices, uses artificial intelligence technology to detect and inform users of physiological indicators, such as changes in heart rate and sleep, that are similar to those exhibited in people with COVID-19. Ëlarm monitoring could indicate that workers are unwell before they develop noticeable symptoms, enabling early action such as testing and self-isolation. ","(MOH, 2021x; RNZ, 2021e)",Testing,Testing
2021-04-14,MIQ worker found to have lied over being tested,"MBIE chief executive Carolyn Tremain reveals that Grand Millennium worker Case B, a security guard, was last tested for COVID-19 in November 2020, despite the requirement to be tested fortnightly. Prime Minister Jacinda Ardern states that the individual had been lying to their employer, First Security, and that the employer was ultimately responsible for ensuring that employees comply with testing regulations. ","(MOH, 2021w; Patterson, 2021b)",Border control,Border
2021-04-13,Saliva testing and testing register mandatory for border workers,"A COVID-19 Public Health Response (Required Testing) Amendment Order 2021 is passed, requiring a regular system for screening border workers using mouth and nose swabs and taking saliva. The order also clarifies the necessary testing schedule for border workers and makes it mandatory for the Ministry of Health to keep records of testing and medical examination. The order for saliva testing comes into effect at 11:59 pm on 21 April 2021 and the order for mandatory use of the Border Worker Testing Register comes into effect on 27 April 2021. ","(MOH, 2021v)",Testing,Testing
2021-04-11,Travel from India temporarily suspended,"The government temporarily suspends entry to New Zealand from India from 4 pm on 11 April 2021 until 28 April 2021, due to a current surge in returnee COVID-19 cases. The travel suspension applies to New Zealand citizens, residents, temporary entry and transit visa holders who have been in India within the past 14 days, and to any traveller who has transited through India. The only exemptions are for diplomats who hold a post in New Zealand. Humanitarian exemptions are to be considered on a case-by-case basis by the Director-General of Health. ","(New Zealand Government, 2021d)",Border control,Border
2021-04-09,MIQ rapid assessment report published,"A rapid assessment of the MIQ system is commissioned by MBIE. The assessment notes that facilities are working well, but makes eight high-priority recommendations. The recommendations include strengthening systems and data integrity; strengthening the IT infrastructure; completing the plan to civilianise current New Zealand Defence Force roles; cross-sectoral work with the Ministry of Health and DHBs to address health resource shortages; a review of planned support functions; continuing the National Planning Function rollout; strengthening partnerships with iwi and Māori across all regions; and formalising MIQ’s information-gathering powers in the COVID-19 Health System Response Act.","(Hendry-Tennent, 2021; Jack & Corich, 2021)",Border Control,Border
2021-04-08,Strategic public health advisory group introduced,"A strategic public health advisory group is established to work alongside Sir Brian Roche’s COVID-19 Independent Continuous Review, Improvement and Advice group to provide the government with advice and support on public health strategies and response post vaccine. The group, chaired by Professor Sir David Skegg, will provide independent advice and analysis based on their experience with epidemiology, infectious diseases, public health and modelling. The group could be consulted on issues such as necessary vaccination levels for border closure relaxations, reports on transmission post-vaccine, and new variants. The group will have a public-facing role in order to communicate the scientific research behind future public health choices made by the government and will run until 1 June 2022.","(Hipkins & Verrall, 2021)",Governance,Governance
2021-04-07,Medsafe report on Pfizer COVID-19 vaccine results released,"The Ministry of Health safety regulator, Medsafe, releases its first safety report on recorded adverse events as a result of application of the Pfizer COVID-19 vaccine from 20 February 2021 to 6 March 2021. According to the report, of the 15,130 doses administered in this time period, 147 adverse events following immunisation (AEFI) were recorded, 143 of which were ‘non-serious.’ The most common AEFI included dizziness, headaches, nausea and fainting (termed as syncope). The three serious AEFI included in the report were all classified as allergic reactions. ","(Medsafe, 2021)",Vaccination,Vaccination
2021-04-06,Vaccinators trained for immunisation rollout,"Around 1800 people complete training for the COVID-19 vaccine rollout; the majority are from the existing pool of around 5400 authorised vaccinators. Individual DHBs will provide them with their final authorisation to deliver the COVID-19 vaccine. Associate Health Minister Peeni Henare states that people will also be able to receive vaccines from their family doctor, and emphasises the role of Māori health providers in ensuring vaccines are accessible to Māori communities.","(Block, 2021b; Coughlan, 2021a)",Vaccination,Vaccination
2021-04-06,Trans-Tasman quarantine-free bubble announced ,"Jacinda Ardern and Chris Hipkins announce that quarantine-free travel (QFT) between Australia and New Zealand will begin on 19 April 2021. The Ministry of Health has deemed the risk of COVID-19 transmission from Australia to New Zealand as low but will maintain vigilance through the implementation of specific travel eligibility criteria and a framework to respond to outbreaks. With this framework, the government will be able to pause or suspend the bubble if public health conditions in either country decline. The Ministry of Health estimates that between 1000 and 1300 rooms will become available in MIQ as a result of the bubble. The Western Australia state government states on 6 April that it is not included in the travel bubble, meaning that travellers there from New Zealand will still have to quarantine upon arrival. However, on 9 April, Western Australia Premier Mark McGowan confirms that the state will treat New Zealand as another jurisdiction under Western Australia’s controlled border regime, thus allowing quarantine-free travel. ","(Ardern & Hipkins, 2021c; Forrester, 2021a; New Zealand Government, 2021c; Todd, 2021)",Trans-Tasman bubble,Bubble
2021-03-24,Mandatory stay for MIQ fee waiver lengthened and MIQ prices for some visa holders changed ,"MBIE announces regulation changes for fee waivers for managed isolation. From 1 June 2021, any NZ citizen or resident will be liable for the $3100 room charge if they are returning to New Zealand for a period of less than 180 days. Prior to 1 June 2021, only those staying in New Zealand for under 90 days are liable to pay the fee. MBIE also increases charges for temporary entry class visa holders who are travelling alone or separately from a New Zealand citizen or resident family member. ","(MBIE, 2021a; 2021b)",Border control,Border
2021-03-24,Criteria for early vaccination applications for urgent overseas travel announced,"The Government has announced the criteria for early vaccinations (outside of the COVID-19 vaccine rollout schedule released on 10 March) for those who need to travel internationally ‘on compassionate grounds or for reasons of national significance’. In order to be granted an early vaccination, applicants need to prove: that they are a New Zealand citizen, resident or visa holder; that they need to travel before 31 August 2021; and that they have made arrangements for returning to New Zealand. Applicants who have to provide or access critical care will be considered on compassionate grounds. Applicants who have to represent New Zealand in an official capacity, at significant international events, and in an official non-government capacity will be considered on the grounds that their travel will be of national significance.  ","(Hipkins, 2021d)",Vaccination,Vaccination
2021-03-22,Managed isolation worker tests positive,"A managed isolation worker tests positive for COVID-19 during routine screening at the Grand Millennium Hotel MIQ facility in Auckland. The worker is asymptomatic and is isolating at home with immediate household members. One adult family member returns a weak positive result and is retested. Mt Roskill Countdown supermarket is released as a location of interest and is deep cleaned in response. The MIQ worker had already received both doses of the Pfizer vaccine – the second dose on 16 March. As at 23 March, 4658 people had received their second dose of the vaccine. On 8 April 2021, another worker at the Grand Millennium Hotel, who had not received the vaccine, is confirmed as a current COVID-19 case. Then on 11 April, a third Grand Millennium worker, who had already been self-isolating at home because they were identified as a close contact, tests positive and is moved to the Auckland quarantine facility with their partner. Whole genome sequencing is completed on 11 April and reveals a link between the cases of 22 March, 8 April and 11 April, who become Cases A, B and C respectively. ","(Cheng, 2021a; MOH, 2021t; 2021u)",Border control,Border
2021-03-19,Government funding boost for Pacific health providers and communities announced,"The government provides dedicated funding for Pacific communities during the COVID-19 vaccination rollout, including investments in Pacific service delivery options and provides, the creation of dedicated social media outreach to Pacific communities, and enabling community-based delivery for easy access to the vaccine.  Pacific health providers will also have discretionary powers to immunise family members who accompany older people, disabled people and people with relevant underlying health conditions to their appointments.","(Sio, 2021a)",Governance,Governance
2021-03-19,COVID-19 chapter introduced to Immunisation Handbook 2020,"The Ministry of Health updates the Immunisation Handbook 2020 to include a chapter entitled ‘Coronavirus disease (COVID-19)’. The handbook provides clinical guidelines for health professionals on the safe and effective use of vaccines in their presence. The chapter details COVID-19 virology and current scientific evidence on the efficacy, dosage and recommended immunisation schedule of Comirnaty, the Pfizer/BioNTech mRNA-based COVID-19 vaccine that the government has approved for use in New Zealand.","(MOH, 2021s)",Vaccination,Vaccination
2021-03-18,April opening for two-way trans-Tasman bubble planned ,"The government is developing plans to open up a quarantine-free trans-Tasman bubble for Australian travellers by the end of April 2021. Safe travel zones between New Zealand, the Cook Islands and Niue are also under discussion. This would enable travellers from these countries to arrive in New Zealand without two weeks of mandatory quarantine. This is conditional on zero community outbreaks in the meantime. A multilateral draft arrangement between Australia and New Zealand had been discussed on 4 February, with intentions to open the bubble by end of March, but Australia had subsequently decided to take an independent approach and backed out of the initial agreement. ","(Patterson, 2021a; Scotcher, 2021)",Trans-Tasman bubble,Bubble
2021-03-12,Auckland moves to Alert Level 1,Auckland moves to Alert Level 1 at 12 pm. All of New Zealand is now at Alert Level 1.,"(New Zealand Government, 2021a)",Alert level,Alert level
2021-03-11,Rapid reviews of COVID-19 national response released,"The government proactively releases two rapid reviews of its response to COVID-19. Both reviews were commissioned by the Chair of the Officials Committee for Domestic and External Security Coordination (ODESC), a national security committee of the Department of the Prime Minister and Cabinet. The first review, dated 23 April 2020 and chaired by Sir Brian Roche, considers the approximate initial first four weeks of the government response. The second review, dated 30 October 2020 and chaired by Rebecca Kitteridge, focuses on the response to the Auckland August resurgence and subsequent lockdown. ","(ODESC, 2020a; 2020b)",Governance,Governance
2021-03-10,Government vaccination schedule released,"COVID-19 Response Minister Chris Hipkins announces the government’s vaccination schedule for New Zealand, which targets those ‘most at risk of getting and spreading COVID-19’ and those ‘most at risk of getting seriously sick from it’ as the first recipients of vaccines in the next phase of the rollout. The schedule defines four main groups in line for the vaccine. Group 1 are the border workers and their household contacts, who will receive vaccines from February to May. Group 2 are frontline workers and people living in ‘high-risk’ settings, including 57,000 healthcare workers and people over the age of 65 living in the Counties Manukau DHB area. They will also receive vaccinations from February to May. Group 3, who will begin receiving vaccinations in May, are the ‘priority population’ of around 1.7 million people at higher risk if they catch COVID-19, including those over the age of 65 and those with relevant underlying health conditions. Group 4 includes the remainder of the general population – around 2 million people – who will be vaccinated from July onward. ","(Hipkins, 2021c; Manch, 2021a)",Vaccination,Vaccination
2021-03-09,First large-scale COVID-19 vaccination clinic opened,"The second stage of the COVID-19 immunisation scheme begins in a newly established large-scale clinic located in the South Auckland suburb of East Tāmaki, with the rollout of jabs for border and MIQ workers’ household contacts. Two other clinics in West Auckland and Auckland central are on track to open in the coming weeks. These will also focus on the immunisation of household contacts of workers in MIQ and at the border. ","(Martin & Sommerville, 2021)",Vaccination,Vaccination
2021-03-09,New special advisory group for COVID-19 response established,"A special advisory group is established to ensure that the government’s COVID-19 response continues to adapt and improve. This group will perform an independent review and provide impartial advice on the performance and impact of the COVID-19 response system and its strategic direction. This group will also provide assurances on the performance and settings of managed isolation and quarantine facilities, and on planning for outbreaks. The group comprises Sir Brian Roche (Chair), Rob Fyfe, Dr Debbie Ryan, Professor Phillip Hill and Dr Dale Bramley.","(Hipkins, 2021b)",Governance,Governance
2021-03-08,Pfizer/BioNTech vaccine purchased for all New Zealanders,The government announces it has signed an agreement to purchase an additional 8.5 million doses of the Pfizer/BioNTech vaccine and that delivery is expected in the second half of 2021. This purchase raises the total Pfizer order from an initial 1.5 million doses secured in October 2020 to 10 million total doses. The total dose order will be enough for 5 million people to receive the two shots necessary for full vaccination. The Ministry of Health is considering donating surplus doses to Pacific nations and to developing countries around the world and/or delaying delivery to enable other countries to obtain doses. ,"(Ardern & Hipkins, 2021)",Vaccination,Vaccination
2021-03-07,Air New Zealand crew member tests positive,"A crew member, who originally tested negative on arrival (28 February) and received the first jab of the COVID-19 vaccine on 3 March, tests positive after a further swab taken as part of routine mandatory testing. The individual is moved to the Auckland quarantine facility while household contacts and workmates are also tested. After genomic testing it is confirmed on 9 February that the case is the Russian variant. ","(Chen, 2021; MOH, 2021r; NZ Herald, 2021f)",Border control,Border
2021-03-07,Auckland moves down to Alert Level 2 and the rest of New Zealand to Alert Level 1,Auckland moves to Level 2 at 6am and the rest of New Zealand to Level 1. There have been no new cases for a week.,"(Leahy, 2021)",Alert level,Alert level
2021-03-04,Wage Subsidy March 2021 becomes available,The Wage Subsidy March 2021 is available from 4 March 2021 to 21 March 2021. It is to help employers and self-employed people keep paying staff and protect jobs impacted by the alert level changes on 28 February 2021. ,"(Work and Income, n.d.[b])",Financial support,Financial support
2021-02-28,Auckland moves up to Alert Level 3 and rest of country moves to Alert Level 2 for a week,"Auckland moves to Level 3 at 6am and the rest of New Zealand moves to Level 2. This is set to last a week. However, there is the possibility it could be extended. At the press conference held on 27 February, Prime Minister Jacinda Ardern expresses frustration over Case M’s breach of isolation rules in the period of time between receiving a COVID-19 test and receiving its results, and calls for New Zealanders to ‘please follow the rules on behalf of everyone.’ ","(Martin, 2021a; New Zealand Government, 2021b)",Alert level,Alert level
2021-02-27,Further case detected (Valentine’s Day outbreak),A new case (Case M) is identified in Auckland: they are the older sibling of a Papatoetoe High School student who was a casual-plus contact and who had returned three negative tests. Interviews are undertaken to establish how the new case was infected. MOH releases locations of interest; it initially names the Manukau Institute of Technology (MIT) Ōtara campus but later retracts this and confirms that the correct location of interest is the MIT Manukau campus. The Ministry also incorrectly reports the workplace of Case M. Two further people in the household of Case M test positive on 28 February. They are asymptomatic and are named Case N and Case O.,"(Block, 2021a; MOH, 2021p; 2021q)",Community outbreak,Outbreak
2021-02-25,Office of the Auditor-General to review vaccination programme,"The Office of the Auditor-General announces it will review the vaccination programme while it is being planned and through the early stages of its rollout, assessing how well set up the programme is, how well its associated systems and processes are working, and identifying any areas for improvement so that changes can be made. This review is the first phase of the Office’s intended work on the vaccination programme. ","(OAG, 2021b)",Governance,Governance
2021-02-23,Further community case detected (Valentine’s Day outbreak),"A new community case (Case I) emerges – a student from Papatoetoe High School in Auckland. This is connected to the initial case at Papatoetoe High School identified on 14 February. The Ministry of Health requests that the High School close again until further notice (following its earlier 15–19 February closure). The Ministry also requests that all students and staff be retested. Later the same day, two siblings of Case I also test positive for COVID-19 and become cases J and K. A further household contact of cases I, J and K tests positive on 26 February after initially testing negative on arrival into quarantine on 23 February. They become Case L.","(MOH, 2021m; 2021n; 2021o)",Community outbreak,Outbreak
2021-02-23,Office of the Auditor-General to review central response to COVID-19,"The Office of the Auditor-General announces it will conduct a performance audit of the COVID-19 response of the Department of the Prime Minister and Cabinet (DPMC). The audit will evaluate how well the DPMC has co-ordinated the national response, as well as the extent to which improvements have been noted and implemented during the response, in order to prepare New Zealand for future outbreaks. ","(OAG, 2021a)",Governance,Governance
2021-02-22,Air New Zealand trials global digital travel pass,"Air New Zealand announces it will trial the International Air Transport Association (IATA) Travel Pass app on its Auckland–Sydney route in April. The app creates a ‘digital health wallet’ for customers that is linked to their e-passport and that can securely receive data from labs about test results and vaccination statuses. The app checks requirements for travel against the data, so that customers who meet their travel requirements can be given approval to travel. The trial will run for three weeks and both aircrew and customers will be able to join it. Air New Zealand is in conversations with government agencies over the validation of testing and vaccinations. ","(Air New Zealand, 2021b)",Vaccination*,Vaccination
2021-02-22,Auckland moves to Alert Level 1,Auckland moves to Alert Level 1 at 11:59 pm. All of New Zealand is now at Alert Level 1.,"(New Zealand Government, 2021a)",Alert level,Alert level
2021-02-20,Pfizer/BioNTech COVID-19 vaccination programme begins  ,"The vaccination of border workers begins in Auckland after a trial run of the vaccine has been completed on a group of 29 vaccinators on 19 February. These 29 vaccinators will start off the largest immunisation programme in New Zealand history. On 22 February, the first group of border workers in Wellington receive vaccinations, and on 24 February, the vaccination programme begins in the South Island with 40 border workers from Christchurch Airport vaccinated.  ","(MOH, 2021j; 2021k; 2021l)",Vaccination,Vaccination
2021-02-17,New community case linked to Valentine’s Day outbreak,"Two new cases linked to the existing Auckland Valentine's Day cluster are identified. Both are students at Papatoetoe High School and are known as cases D and E. Case F, a household contact of D and E, is included in reporting figures on 18 February and is transferred alongside D and E to the Auckland quarantine facility. On 19 February, a further household contact of these cases tests positive for COVID-19. This new case (Case G) is moved to the Auckland quarantine facility, as is the one additional member of the existing household that has tested negative previously. On 22 February, this additional household member tests positive in quarantine and becomes Case H. ","(MOH, 2021f; 2021g; 2021h; 2021i)",Community outbreak,Outbreak
2021-02-17,Auckland moves down to Alert Level 2 and the rest of New Zealand to Alert Level 1,"Auckland moves back to Level 2 at 11.59pm, while the rest of New Zealand moves to Level 1.","(New Zealand Government, 2021b)",Alert level,Alert level
2021-02-14,Trans-Tasman travel bubble suspended,"In response to the changing alert levels and detection of community COVID-19 cases in Auckland, Australia reinstates mandatory hotel quarantine for travellers from New Zealand. The one-way trans-Tasman bubble is briefly fully restored from 21 February 2021, on the condition that travellers who have been in Auckland in the past 14 days provide a negative PCR test at check-in. On 24 February 2021, the Australian Chief Medical Officer designates Auckland as a ‘Commonwealth hotspot’ in response to new cases. Any travellers who had been in Auckland in the past 14 days are banned from travelling on ‘green flights’ (quarantine-free flights) to Australia. Other New Zealand travellers who have not been in Auckland in the past 14 days are permitted to travel on green flights. This is effective until 11:59 pm AEDT on 11 March 2021. ","(AGDOH, 2021; Bucklow, 2021)",Trans-Tasman bubble,Bubble
2021-02-14,Auckland moves up to Alert Level 3 and rest of the country to Alert Level 2,"In response to the COVID-19 cases detected in the community, Auckland goes into Alert Level 3 at 11.59pm for 72 hours and the rest of the country is placed under Alert Level 2 restrictions. ","(New Zealand Government, 2021b)",Alert level,Alert level
2021-02-14,Three community cases identified in South Auckland (‘Valentine’s Day outbreak’),"A mother, father and daughter from the same South Auckland household have all tested positive for COVID-19 and are moved from their home to the Auckland quarantine facility. They are identified as cases A, B and C. The Ministry of Health identifies close contacts of the three cases, and Papatoetoe High School and PAK’nSAVE Manukau become locations of interest. An additional pop-up testing centre is set up at Papatoetoe High School specifically for students, parents, caregivers and staff. ","(MOH, 2021e; RNZ, 2021d)",Community outbreak,Outbreak
2021-02-03,Medsafe gives Pfizer vaccine provisional approval,"Medicine regulating body Medsafe gives provisional approval for the Pfizer/BioNTech vaccine, following assessment of its effectiveness and quality, safety data and manufacturing data. Director-General of Health Dr Ashley Bloomfield notes this as a significant milestone in regard to the COVID-19 vaccination process. Minor side-effects of the vaccine can include a painful arm and headaches. Medsafe is to monitor the use of the vaccine in New Zealand, including analysis of reports of potential side-effects.","(MOH, 2021d)",Vaccination,Vaccination
2021-01-28,Mandatory room confinement after day-12 test for arrivals,"COVID-19 Response Minister Chris Hipkins announces that all returnees in managed isolation across New Zealand are now required to remain in their rooms after receiving their final day-12 COVID-19 test until they exit managed isolation on day 14. The measure aims to minimise potential infection in the final few days in MIQ, which could go undetected until after the returnee has re-entered normal life.  ","(RNZ, 2021c)",Border control,Border
